actual,proposed
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.06908771395683289,-0.005462102126330137
-0.0718885213136673,-0.011378890834748745
-0.07375572621822357,-0.017008798196911812
-0.07562292367219925,-0.02374853938817978
-0.08231135457754135,-0.032153837382793427
-0.08627808094024658,-0.04042661190032959
-0.0882614403963089,-0.04815775528550148
-0.09123647958040237,-0.05683409050107002
-0.09520316869020462,-0.06678856164216995
-0.09851530194282532,-0.07687385380268097
-0.10249559581279755,-0.08818244189023972
-0.10747094452381134,-0.10130704939365387
-0.11344131827354431,-0.10747094452381134
-0.11841660737991333,-0.11841660737991333
-0.12584461271762848,-0.12584461271762848
-0.13289155066013336,-0.13289155066013336
-0.13993841409683228,-0.13993841409683228
-0.14597854018211365,-0.14597854018211365
-0.15403196215629578,-0.15403196215629578
-0.16309194266796112,-0.16309194266796112
-0.15489612519741058,-0.15489612519741058
-0.16214215755462646,-0.16214215755462646
-0.16938813030719757,-0.16938813030719757
-0.17663399875164032,-0.17663399875164032
-0.1838797926902771,-0.1838797926902771
-0.19743956625461578,-0.19743956625461578
-0.20496012270450592,-0.20496012270450592
-0.2124805897474289,-0.2124805897474289
-0.21812087297439575,-0.21812087297439575
-0.22470109164714813,-0.22470109164714813
-0.22390331327915192,-0.22390331327915192
-0.22936350107192993,-0.22936350107192993
-0.23573365807533264,-0.23573365807533264
-0.24119369685649872,-0.24119369685649872
-0.24574369192123413,-0.24574369192123413
-0.26237788796424866,-0.26237788796424866
-0.2671300768852234,-0.2671300768852234
-0.27093181014060974,-0.27093181014060974
-0.2756839096546173,-0.2756839096546173
-0.2794855535030365,-0.2794855535030365
-0.2832871675491333,-0.2794855535030365
-0.311274915933609,-0.311274915933609
-0.3153965175151825,-0.3153965175151825
-0.3184877038002014,-0.3184877038002014
-0.3195180892944336,-0.3195180892944336
-0.3195180892944336,-0.3195180892944336
-0.26082804799079895,-0.26082804799079895
-0.26082804799079895,-0.26082804799079895
-0.26082804799079895,-0.26082804799079895
-0.26082804799079895,-0.26082804799079895
-0.26082804799079895,-0.26082804799079895
-0.24041633307933807,-0.24041633307933807
-0.24041633307933807,-0.24041633307933807
-0.2396358996629715,-0.2396358996629715
-0.23807501792907715,-0.23807501792907715
-0.23729458451271057,-0.23729458451271057
-0.30644071102142334,-0.30644071102142334
-0.3033873438835144,-0.3033873438835144
